country,2005,2006,2007,2008,2009,2010,2011,2012
North America,63.08031,66.96264,71.53929,81.21738,70.3286,64.18919,67.34876,71.253
Bermuda,0,0,0,0,0,0,0,0
Canada,42.33204,41.54405,50.11806,55.73123,50.87045,43.76309,51.076,57.971
Greenland,0,0,0,0,0,0,0,0
Mexico,1.59728,1.14726,1.27764,1.28815,1.32014,1.3201,1.22376,1.286
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0
United States,19.151,24.27134,20.14359,24.198,18.138,19.106,15.049,11.996
Central & South America,51.86222,54.8236,52.53603,52.44703,51.076,49.051,53.01,51.231
Antarctica,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0
Argentina,4.14,6.193,2.62849,2.975,2.445,1.701,1.267,0.506
Aruba,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0
Brazil,0.16,0.283,2.034,0.689,1.08,1.257,2.544,0.467
Cayman Islands,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0
Colombia,1.758,1.813,0.87669,1.473,1.077,0.798,1.543,0.715
Costa Rica,0.07,0.06,0.03955,0.166,0.134,0.135,0.32,0.402
Cuba,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0
Ecuador,0.016,0.00123,0.03853,0.038,0.021,0.01,0.014,0.012
El Salvador,0.038,0.009,0.007,0.089,0.079,0.089,0.118,0.078
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0
Guatemala,0.339,0.09,0.13188,0.076,0.094,0.139,0.183,0.346
Guyana,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0
Honduras,0.00193,0.0113,0,0.012,0.046,0.013,0.127,0.079
Jamaica,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0
Nicaragua,0.008,0.009,0,0.00003,0.002,0.043,0.041,0.003
Panama,0.10629,0.08207,0.12489,0.032,0.095,0.039,0.008,0.059
Paraguay,43.792,45.707,45.12,46.3,45.042,43.378,46.12,47.663
Peru,0.008,0,0,0,0.063,0.112,0.001,0.002
Puerto Rico,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0
Uruguay,0.841,0.016,0.995,0.028,0.265,0.711,0.019,0.194
Venezuela,0.584,0.549,0.54,0.569,0.633,0.626,0.705,0.705
Virgin Islands U.S.,0,0,0,0,0,0,0,0
Virgin Islands British,0,0,0,0,0,0,0,0
Europe,367.868,359.66,365.972,344.598,324.34,333.549,374.185,400.72
Albania,0,0,0,0,0.536,1.906,0.301,0.336
Austria,17.732,14.407,15.511,14.933,18.762,17.567,16.777,20.454
Belgium,8.024,8.696,9.037,6.561,11.321,11.844,10.652,6.912
Bosnia and Herzegovina,3.628,5.123,4.344,5.057,5.877,6.905,5.66,4.525
Bulgaria,8.38,8.882,7.533,8.441,7.735,9.613,12.11,10.661
Croatia,4.323,3.306,1.948,2.14,2.578,2.712,1.574,1.639
Cyprus,0,0,0,0,0,0,0,0
Czech Republic,24.985,24.097,26.357,19.989,22.23,21.59,27.501,28.707
Denmark,11.574,13.702,11.377,11.36,10.874,11.734,10.374,10.706
Faroe Islands,0,0,0,0,0,0,0,0
Finland,0.933,2.717,2.862,3.335,3.375,5.218,3.804,1.645
Former Czechoslovakia,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,8.694,--,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--
France,68.39,71.863,67.595,58.736,44.451,50.188,65.914,56.734
Germany,61.427,65.441,62.508,61.77,54.132,57.917,54.768,66.81
Germany East,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--
Gibraltar,0,0,0,0,0,0,0,0
Greece,1.836,1.938,2.057,1.962,3.233,2.811,3.948,4.169
Hungary,9.41,8.186,10.694,8.871,5.459,4.702,8.021,9.003
Iceland,0,0,0,0,0,0,0,0
Ireland,0.001,0.009,0.082,0.303,0.175,0.29,0.242,0.37
Italy,1.109,1.611,2.648,3.398,2.111,1.827,1.787,2.304
Kosovo,--,--,--,0.296,0.274,0.353,2.717,2.619
Luxembourg,3.131,3.267,2.887,2.484,2.604,3.216,2.614,2.622
Macedonia,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0
Montenegro,--,0.072,0.108,0.108,0.172,0.73,0.431,0.228
Netherlands,5.398,5.887,5.565,9.116,10.561,12.807,11.531,15.046
Norway,15.695,8.947,15.32,17.275,14.634,7.124,14.329,22.006
Poland,16.188,15.775,13.109,9.703,9.594,7.664,12.022,12.643
Portugal,2.802,3.183,2.153,1.313,2.822,3.191,3.929,2.871
Romania,5.224,5.262,3.359,5.169,2.946,3.041,5.316,3.65
Serbia,--,9.377,9.192,8.802,6.609,5.917,6.979,5.392
Slovakia,11.27,10.921,11.855,8.891,7.682,6.293,10.5,13.079
Slovenia,7.558,7.02,5.911,7.82,10.839,10.717,8.298,8.363
Spain,11.555,12.373,14.524,16.92,14.855,13.539,14.023,18.986
Sweden,21.968,11.497,14.736,14.715,9.08,12.853,19.714,31.255
Switzerland,31.996,31.1,36.88,32.736,33.525,32.881,32.237,33.749
Turkey,1.798,2.236,2.422,1.122,1.546,1.918,3.645,1.489
United Kingdom,2.839,2.765,3.398,1.272,3.748,4.481,2.467,1.747
Eurasia,74.6331,72.5055,72.7443,68.495,63.154,59.257,66.269,61.021
Armenia,1.1511,0.7545,0.4513,0.36,0.336,1.061,1.383,1.696
Azerbaijan,0.88,0.879,0.786,0.812,0.38,0.462,0.805,0.68
Belarus,5.055,5.789,5.062,5.245,3.933,5.067,3.704,2.797
Estonia,1.953,1.001,2.765,2.31,2.943,4.354,5.252,4.95
Former U.S.S.R.,--,--,--,--,--,--,--,--
Georgia,0.122,0.14,0.628,0.675,0.74,1.492,0.93,0.528
Kazakhstan,3.648,3.73,3.308,2.483,2.379,1.757,1.809,2.933
Kyrgyzstan,2.684,2.521,2.379,0.868,1.251,1.828,2.848,1.84
Latvia,0.707,0.302,1.964,2.123,2.605,3.1,2.764,3.245
Lithuania,8.607,6.24,7.218,6.606,7.715,2.184,1.347,1.442
Moldova,0.22,0.229,0,0,0,0,0,0
Russia,22.52,20.927,18.468,20.738,17.923,19.091,24.11,19.143
Tajikistan,4.257,4.231,4.259,4.421,4.247,0.286,0.197,0.775
Turkmenistan,1.26,1.34,1.46,1.476,1.568,2.41,2.55,2.72
Ukraine,10.068,12.519,12.554,8.831,5.458,4.078,6.322,6
Uzbekistan,11.501,11.903,11.442,11.547,11.676,12.087,12.248,12.272
Middle East,5.335,5.774,5.768,8.729,10.688,11.793,13.985,15.757
Bahrain,0,0,0,0.275,0,0.019,0.107,0.19
Iran,2.761,2.775,2.52,3.875,6.152,6.707,8.668,11.029
Iraq,0,0,0,0,0,0,0,0
Israel,1.667,1.844,2.081,3.666,3.783,3.966,4.222,4.434
Jordan,0.004,0.013,0.176,0.323,0.139,0.058,0.086,0.104
Kuwait,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0
Palestinian Territories,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0
Syria,0.903,1.142,0.991,0.59,0.614,1.043,0.902,0
United Arab Emirates,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0
Africa,31.0614,31.704,30.659,29.59037,32.54304,34.382,33.772,31.709
Algeria,0.275,0.3,0.273,0.323,0.362,0.803,0.799,0.985
Angola,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0
Congo (Kinshasa),1.735,1.323,1.402,0.674,0.887,0.916,0.171,0
Cote dIvoire (IvoryCoast),1.398,1.065,0.772,0.599,0.484,0.491,0.615,0.645
Djibouti,0,0,0,0,0,0,0,0
Egypt,0.946,0.557,0.814,1.022,1.118,1.595,1.679,1.474
Equatorial Guinea,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0.332,0.4
Gabon,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0
Ghana,0.639,0.754,0.246,0.538,0.752,1.036,0.691,0.667
Guinea,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0
Kenya,0.0244,0.073,0.046,0.027,0.027,0.031,0.042,0.031
Lesotho,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0
Libya,0.105,0.093,0.104,0.117,0.118,0.152,0.128,0.014
Madagascar,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0.643,0.524,0.818
Mozambique,12.001,12.825,11.822,11.212,12.939,12.075,11.954,9.791
Namibia,0.031,0.036,0.04,0.047,0.144,0.207,0.076,0.091
Niger,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0
Reunion,0,0,0,0,0,0,0,0
Rwanda,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003
Saint Helena,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0
South Africa,13.422,13.589,14.496,14.168,14.052,14.668,14.964,15.035
Sudan and South Sudan,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0
Tunisia,0.142,0.135,0.13,0.129,0.081,0.122,0.161,0.426
Uganda,0.063,0.053,0.066,0.06537,0.08204,0.075,0.07,0.07
Western Sahara,0,0,0,0,0,0,0,0
Zambia,0.243,0.552,0.417,0.096,0.589,0.578,0.587,0.606
Zimbabwe,0.036,0.347,0.029,0.571,0.905,0.987,0.976,0.653
Asia & Oceania,23.324,26.334,29.803,30.0745,30.337,35.549,39.506,36.578
Afghanistan,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0
Bhutan,1.943,3.644,5.429,5.609,5.352,5.268,5.284,4.924
Brunei,0,0,0,0,0,0,0,0
Burma (Myanmar),0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0
China,11.194,12.271,14.566,16.644,17.386,19.059,19.32,17.652
Cook Islands,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,--,--,--,--,--,--,--,--
Hong Kong,4.498,4.528,4.035,3.5525,3.731,2.609,2.957,1.838
India,0.209,0.216,0.29,0.388,0.058,0.062,0.135,0.005
Indonesia,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0
Korea North,0,0,0,0,0,0,0,0
Korea South,0,0,0,0,0,0,0,0
Laos,2.496,2.501,2.226,2.277,1.939,6.07,9.734,9.509
Macau,0,0,0,0,0,0,0,0
Malaysia,2.233,2.326,2.267,0.581,0.1,0.151,0.012,0.012
Maldives,0,0,0,0,0,0,0,0
Mongolia,0.012,0.021,0.01,0.016,0.018,0.022,0.024,0.021
