country,2005,2006,2007,2008,2009,2010,2011,2012
North America,63.07973,66.96264,71.53929,81.21716,70.32898,64.1895,67.349,71.252
Bermuda,0,0,0,0,0,0,0,0
Canada,18.68,23.40539,19.55942,23.61416,17.51711,18.482,14.399,11.392
Greenland,0,0,0,0,0,0,0,0
Mexico,0.47073,0.86595,0.58418,0.584,0.62087,0.6245,0.65,0.603
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0
United States,43.929,42.69131,51.3957,57.019,52.191,45.083,52.3,59.257
Central & South America,53.515,56.06123,55.01687,54.72008,54.56033,49.65,53.484,51.6165
Antarctica,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0
Argentina,8.017,7.418,10.275,8.458,8.601,10.301,10.929,8.116
Aruba,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0
Belize,0.254,0.21,0.225,0.248,0.216,0.16,0.171,0.238
Bolivia,0,0,0,0,0,0,0,0
Brazil,39.202,41.447,40.866,42.901,41.064,35.906,38.43,40.722
Cayman Islands,0,0,0,0,0,0,0,0
Chile,2.152,2.285,1.62766,1.154,1.348,0.958,0.732,0
Colombia,0.016,0.021,0.0394,0.077,0.021,0.01,0.008,0.0065
Costa Rica,0.081,0.14889,0.20322,0.096,0.151,0.164,0.283,0.419
Cuba,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0
Ecuador,1.723,1.57,0.86099,0.5,1.12,0.873,1.295,0.238
El Salvador,0.322,0.011,0.038,0.083,0.208,0.174,0.251,0.163
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0
Guatemala,0.023,0.008,0.00811,0.005,0.037,0.362,0.526,0.372
Guyana,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0
Honduras,0.058,0.019,0.0118,0,0.0001,0.022,0.045,0.076
Jamaica,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0
Nicaragua,0.025,0.05332,0.06395,0.028,0.002,0.01,0.01,0.02
Panama,0.055,0.03439,0.00874,0.105,0.06423,0.071,0.072,0.019
Paraguay,0.002,0.00063,0,0.00008,0,0,0,0
Peru,0,0,0,0,0,0,0.006,0.005
Puerto Rico,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0
Uruguay,1.585,2.835,0.789,0.963,1.468,0.387,0.477,0.742
Venezuela,0,0,0,0.102,0.26,0.252,0.249,0.48
Virgin Islands U.S.,0,0,0,0,0,0,0,0
Virgin Islands British,0,0,0,0,0,0,0,0
Europe,377.879,369.914,376.277,357.285,333.801,341.686,383.863,406.336
Albania,0.371,0.611,2.838,2.434,1.965,1.005,3.475,3.23
Austria,20.397,21.257,22.13,19.796,19.542,19.898,24.972,23.264
Belgium,14.328,18.853,15.816,17.158,9.486,12.395,13.189,16.848
Bosnia and Herzegovina,2.251,3.015,3.743,3.412,2.887,3.076,4.171,4.481
Bulgaria,0.799,1.139,3.058,3.097,2.662,1.167,1.449,2.353
Croatia,8.802,8.374,7.926,8.249,7.651,6.784,8.975,13.174
Cyprus,0,0,0,0,0,0,0,0
Czech Republic,12.351,11.466,10.204,8.52,8.586,6.642,10.457,11.587
Denmark,12.943,6.767,10.427,12.815,11.208,10.599,11.694,15.92
Faroe Islands,0,0,0,0,0,0,0,0
Finland,17.948,14.118,15.419,16.107,15.46,15.719,17.656,19.089
Former Czechoslovakia,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,6.751,--,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--
France,8.062,8.522,10.782,10.748,18.517,19.475,9.501,12.213
Germany,56.861,48.464,45.953,41.67,41.859,42.962,51.003,46.269
Germany East,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--
Gibraltar,0,0,0,0,0,0,0,0
Greece,5.616,6.14,6.412,7.575,7.601,8.517,7.18,5.954
Hungary,15.637,15.393,14.68,12.774,10.972,9.897,14.664,16.97
Iceland,0,0,0,0,0,0,0,0
Ireland,2.045,1.787,1.412,0.753,0.939,0.76,0.732,0.784
Italy,50.264,46.596,48.931,43.433,47.07,45.987,47.519,45.407
Kosovo,--,--,--,0.708,0.768,0.819,3.135,2.773
Luxembourg,6.392,6.824,6.847,6.83,6.022,7.28,7.096,6.732
Macedonia,1.599,1.795,2.491,2.733,1.438,1.42,2.749,2.741
Malta,0,0,0,0,0,0,0,0
Montenegro,--,1.728,2.167,1.571,1.151,0.732,1.993,1.44
Netherlands,23.691,27.346,23.139,24.967,15.452,15.583,20.62,32.156
Norway,3.653,9.801,5.285,3.412,5.65,14.673,11.255,4.19
Poland,5.002,4.789,7.761,9.034,7.403,6.31,6.78,9.803
Portugal,9.626,8.624,9.641,10.744,7.598,5.814,6.742,10.766
Romania,2.321,0.989,1.269,0.921,0.651,0.767,3.41,0.851
Serbia,--,8.567,9.106,8.875,5.184,5.62,6.701,5.781
Slovakia,8.005,8.59,13.58,9.412,8.994,7.334,11.227,13.472
Slovenia,7.234,7.071,6.14,6.218,7.78,8.625,7.036,7.452
Spain,10.212,9.093,8.773,5.881,6.751,5.206,7.932,7.787
Sweden,14.576,17.537,16.052,12.754,13.765,14.931,12.481,11.682
Switzerland,38.346,33.803,34.818,31.601,31.368,33.401,34.824,31.549
Turkey,0.636,0.573,0.864,0.789,0.812,1.144,4.556,5.827
United Kingdom,11.16,10.282,8.613,12.294,6.609,7.144,8.689,13.791
Eurasia,56.4796,53.4589,53.0507,47.659,43.3399,40.183,41.342,47.283
Armenia,0.3376,0.3549,0.4187,0.343,0.291,0.246,0.301,0.098
Azerbaijan,2.082,1.766,0.548,0.216,0.11,0.1,0.128,0.141
Belarus,9.091,10.149,9.406,7.085,8.404,7.767,9.289,10.398
Estonia,0.345,0.251,0.345,1.369,3.025,1.1,1.69,2.71
Former U.S.S.R.,--,--,--,--,--,--,--,--
Georgia,1.468,0.756,0.43,0.558,0.255,0.232,0.477,0.615
Kazakhstan,3.518,3.955,3.383,2.769,1.71,2.914,2.6,4.252
Kyrgyzstan,0,0.009,0.004,0.102,0.052,0.116,0.174,0.177
Latvia,2.855,2.81,4.964,4.643,4.259,3.973,4.009,4.937
Lithuania,5.641,5.812,5.846,5.649,4.783,8.174,8.086,8.062
Moldova,3.361,3.741,2.931,2.958,1.464,1.464,0.666,0.846
Russia,10.139,5.115,5.67,3.105,3.0659,1.644,1.558,2.661
Tajikistan,4.508,4.84,4.361,5.297,4.304,0.432,0.172,0.114
Turkmenistan,0,0,0,0,0,0,0,0
Ukraine,1.715,2.082,3.383,2.101,0.025,0.023,0.032,0.089
Uzbekistan,11.419,11.818,11.361,11.464,11.592,11.998,12.16,12.183
Middle East,7.621,10.088,9.815,10.262,13.884,16.124,19.537,19.383
Bahrain,0,0.003,0.013,0.085,0.168,0.192,0.227,0.035
Iran,2.084,2.54,1.842,1.684,2.068,3.015,3.656,3.897
Iraq,1.241,2.688,2.196,2.973,5.585,6.153,7.262,8.201
Israel,0,0,0,0,0,0,0,0
Jordan,0.741,0.472,0.208,0.547,0.383,0.67,1.738,0.784
Kuwait,0,0,0,0,0,0,0,0
Lebanon,0.455,0.929,0.972,0.561,1.155,1.245,0.84,0.323
Oman,0,0,0,0,0,0,0,0
Palestinian Territories,2.862,3.096,3.188,3.864,3.983,4.159,4.622,4.909
Qatar,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0
Syria,0.238,0.36,1.396,0.548,0.542,0.69,1.192,1.234
United Arab Emirates,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0
Africa,33.51,35.607,35.381,33.91772,36.9806,38.308,38.231,37.303
Algeria,0.359,0.382,0.279,0.274,0.33,0.736,0.657,0.936
Angola,0,0,0,0,0,0,0,0
Benin,0.595,0.59,0.579,0.662,0.866,0.935,0.931,0.983
Botswana,2.013,2.05,2.394,2.585,2.749,2.985,3.18,3.371
Burkina Faso,0.125,0.139,0.124,0.13572,0.1446,0.385,0.495,0.5
Burundi,0.071,0.075,0.077,0.076,0.092,0.095,0.095,0.095
Cameroon,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0
Congo (Brazzaville),0.418,0.411,0.449,0.436,0.44,0.281,0.027,0.055
Congo (Kinshasa),0.071,0.014,0.076,0.083,0.105,0.161,0.044,0
Cote dIvoire (IvoryCoast),0,0,0,0,0,0.145,0.022,0.054
Djibouti,0,0,0,0,0,0,0,0
Egypt,0.168,0.208,0.251,0.126,0.183,0.152,0.102,0.077
Equatorial Guinea,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0
Ghana,0.815,0.629,0.435,0.275,0.198,0.106,0.081,0.128
Guinea,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0
Kenya,0.015,0.014,0.026,0.03,0.038,0.031,0.037,0.042
Lesotho,0.013,0.04,0.05,0.05,0.124,0.247,0.184,0.255
Liberia,0,0,0,0,0,0,0,0
Libya,0.152,0.126,0.077,0.069,0.073,0.074,0.062,0.061
Madagascar,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0
Morocco,0.802,1.998,3.455,4.261,4.623,4.583,5.131,5.66
Mozambique,9.588,9.839,8.278,7.776,7.869,8.533,8.57,8.304
Namibia,1.703,1.948,2.045,2.147,2.202,2.462,2.48,2.519
Niger,0.339,0.4,0.45,0.462,0.535,0.551,0.6,0.6
Nigeria,0,0,0,0,0,0,0,0
Reunion,0,0,0,0,0,0,0,0
Rwanda,0.089,0.064,0.084,0.084,0.062,0.08,0.078,0.08
Saint Helena,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0
South Africa,11.079,10.624,11.348,10.572,12.295,12.193,11.89,10.006
Sudan and South Sudan,0,0,0,0,0,0,0,0
Swaziland,0.872,0.76,0.856,0.983,0.923,0.909,0.9,0.9
Tanzania,0.072,0.169,0.123,0.052,0.065,0.057,0.055,0.061
Togo,0.511,0.505,0.514,0.666,0.725,0.706,0.853,0.959
Tunisia,0.139,0.142,0.122,0.122,0.122,0.141,0.131,0.384
Uganda,0.023,0.047,0.058,0.041,0.025,0.029,0.036,0.059
Western Sahara,0,0,0,0,0,0,0,0
