country,2005,2006,2007,2008,2009,2010,2011,2012
North America,4552.4756,4548.6856,4655.43921,4634.44683,4452.93286,4626.05709,4661.22345,4592.07395
Bermuda,0.60677,0.61975,0.62826,0.63705,0.64516,0.63836,0.62682,0.60171
Canada,547.75196,533.99634,561.51136,561.59693,523.77866,526.30191,543.731,524.836
Greenland,0.279,0.28365,0.30225,0.28861,0.28458,0.279,0.2976,0.29202
Mexico,192.81698,196.90321,202.72993,206.72823,204.38245,212.39641,233.93024,233.997
Saint Pierre and Miquelon,0.0372,0.0372,0.03627,0.03813,0.03813,0.03906,0.03906,0.03999
United States,3810.9837,3816.84545,3890.23114,3865.15789,3723.80388,3886.40235,3882.59873,3832.30723
Central & South America,763.57847,806.21874,843.19237,868.64092,875.11604,932.08993,978.05385,999.07835
Antarctica,0.00186,0.00186,0.00186,0.00186,0.00372,0.00372,0.00372,0.00372
Antigua and Barbuda,0.21204,0.22599,0.24459,0.25203,0.28644,0.28458,0.2883,0.29295
Argentina,88.61302,97.92409,100.33261,104.95482,105.6051,111.0801,114.521,117.09
Aruba,0.79515,0.79422,0.8184,0.79887,0.83607,0.91512,0.9114,0.9207
Bahamas,1.76179,1.79265,1.90205,1.65261,1.48335,1.52892,1.4787,1.71585
Barbados,0.891,0.9134,0.9379,0.968,0.978,0.986,0.934,0.938
Belize,0.39036,0.4001,0.42171,0.44668,0.56823,0.57423,0.57223,0.60503
Bolivia,4.194,4.53928,4.92211,4.872,5.124,5.77,6.015,6.456
Brazil,367.88328,382.53928,404.16758,419.60254,418.44774,455.72942,478.7522,483.5012
Cayman Islands,0.36642,0.45198,0.50778,0.53754,0.55558,0.55196,0.55242,0.54591
Chile,48.37876,50.92482,53.01022,53.5916,53.45744,53.93444,57.893,63.39
Colombia,37.77908,40.48212,42.20351,42.75746,46.3836,45.51182,50.252,49.3845
Costa Rica,7.27274,7.80891,8.18535,8.31438,8.24194,8.53154,8.598,8.987
Cuba,12.11686,12.86146,13.63007,13.86138,13.97112,13.63572,13.9571,14.447
Dominica,0.07347,0.07533,0.07626,0.07719,0.08231,0.08789,0.09068,0.08975
Dominican Republic,10.5234,11.45994,11.99174,9.957,9.8725,10.4855,11.203,11.899
Ecuador,10.47188,12.17881,13.8345,15.42304,15.91004,16.60504,18.02204,19.02
El Salvador,4.4624,4.91,5.299,5.267,5.266,5.404,5.406,5.665
Falkland Islands (Islas Malvinas),0.01418,0.01516,0.01516,0.01674,0.01674,0.01209,0.01116,0.01116
French Guiana,0.63333,0.65658,0.68169,0.71703,0.73656,0.76446,0.68355,0.558
Grenada,0.13131,0.15116,0.17167,0.17383,0.17739,0.1844,0.18,0.178
Guadeloupe,1.39965,1.45638,1.52427,1.52334,1.52334,1.5252,1.52985,1.5345
Guatemala,6.533,7.267,7.71223,7.532,8.607,8.483,8.627,8.172
Guyana,0.367,0.393,0.432,0.415,0.407,0.467,0.497,0.558
Haiti,0.32254,0.33006,0.22116,0.2087,0.31916,0.2174,0.266,0.452
Honduras,4.08807,4.2217,4.6988,4.924,4.8131,4.875,4.73567,5.036
Jamaica,6.13496,6.0981,4.941,2.963,3.085,3.114,3.143,3.008
Martinique,1.29177,1.3299,1.37268,1.41081,1.44894,1.51776,1.57821,1.63866
Montserrat,0.0186,0.0186,0.01953,0.02046,0.02046,0.02046,0.02232,0.02325
Netherlands Antilles,1.003,0.98,1.00964,0.99848,1.07212,1.092,1.094,1.1
Nicaragua,2.19943,2.29839,2.28227,2.40142,2.689,2.908,3.059,3.556
Panama,4.68371,4.82532,5.17545,5.47072,5.83637,6.188,6.626,7.144
Paraguay,4.499,4.88263,5.352,5.69808,6.237,6.778,7.497,8.125
Peru,22.95105,24.17505,26.60005,29.39505,29.21505,31.03505,35.71905,35.688
Puerto Rico,23.21492,22.16841,20.74365,19.45653,19.25937,19.42584,18.61395,18.62418
Saint Kitts and Nevis,0.11625,0.11811,0.11997,0.12183,0.12369,0.12555,0.12834,0.1302
Saint Lucia,0.2829,0.28915,0.30221,0.30801,0.31733,0.33294,0.33666,0.33638
Saint Vincent/Grenadines,0.11703,0.11807,0.1244,0.12273,0.12276,0.12648,0.12555,0.12741
Suriname,1.381,1.425,1.423,1.409,1.409,1.426,1.499,1.572
Trinidad and Tobago,6.247,6.468,6.963,7.044,7.083,7.731,8.023,8.365
Turks and Caicos Islands,0.11532,0.13857,0.15903,0.17298,0.18228,0.17763,0.17205,0.1674
Uruguay,6.514,7.251,7.9158,8.41932,8.71868,9.275,9.318,9.559
Venezuela,72.298,78.014,79.89276,83.55364,83.766,91.853,94.33,97.688
Virgin Islands U.S.,0.79487,0.8033,0.80988,0.78452,0.81096,0.76725,0.73842,0.72346
Virgin Islands British,0.03906,0.04185,0.04185,0.04371,0.04557,0.04743,0.04929,0.05115
Europe,3232.56521,3293.43704,3335.09202,3365.02182,3213.20637,3358.70838,3317.77003,3313.29603
Albania,3.7388,2.99142,3.69368,4.276,4.49194,4.82694,5.186,4.059
Austria,60.53582,62.95448,63.31914,63.38922,61.025,63.465,65.079,64.004
Belgium,82.76408,85.2971,85.12744,85.09678,78.94878,84.86156,82.825,81.894
Bosnia and Herzegovina,8.54176,8.47288,8.45802,10.56564,10.17526,11.06712,11.544,11.908
