country,2005,2006,2007,2008,2009,2010,2011,2012
North America,4894.04471,4895.06715,5014.61192,4983.85772,4793.88703,4969.23576,5007.88773,4943.71123
Bermuda,0.65244,0.6664,0.67555,0.685,0.69372,0.68641,0.674,0.647
Canada,606.268,592.569,612.9,614.593,594.981,585.804,626.606,616.211
Greenland,0.3,0.305,0.325,0.31033,0.306,0.3,0.32,0.314
Mexico,231.36152,236.78452,243.9274,248.84138,247.53372,257.344,280.106,278.73
Saint Pierre and Miquelon,0.04,0.04,0.039,0.041,0.041,0.042,0.042,0.043
United States,4055.42275,4064.70223,4156.74497,4119.387,3950.33159,4125.05935,4100.13973,4047.76623
Central & South America,912.35473,959.64952,1002.92735,1033.69781,1043.14036,1098.61166,1147.53579,1177.00034
Antarctica,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004
Antigua and Barbuda,0.228,0.243,0.263,0.271,0.308,0.306,0.31,0.315
Argentina,100.69202,111.27409,110.6431,115.74582,117.4291,119.2971,123.56,127.922
Aruba,0.855,0.854,0.88,0.859,0.899,0.984,0.98,0.99
Bahamas,1.8944,1.92758,2.04521,1.777,1.595,1.644,1.59,1.845
Barbados,0.953,0.9764,1.0029,1.011,1.023,1.037,1.002,0.981
Belize,0.19036,0.2481,0.25371,0.25568,0.40723,0.47123,0.45223,0.42303
Bolivia,4.694,5.08028,5.51211,5.564,5.848,6.56,6.818,7.333
Brazil,395.72128,411.92528,437.18658,454.47154,458.57574,506.82742,530.3902,537.6132
Cayman Islands,0.394,0.486,0.546,0.578,0.5974,0.5935,0.594,0.587
Chile,50.76676,53.54382,56.31756,57.5186,58.51344,57.94344,61.848,66.889
Colombia,49.34008,52.72912,54.1888,54.95146,55.8466,55.43682,59.217,57.811
Costa Rica,8.15674,8.58502,8.92968,9.35738,9.21094,9.47254,9.695,10.053
Cuba,14.45086,15.51046,16.60007,16.66938,16.72012,16.40372,16.7441,17.366
Dominica,0.079,0.081,0.082,0.083,0.0885,0.0945,0.0975,0.0965
Dominican Republic,11.9804,13.05994,13.64974,11.676,11.5585,12.2965,13.086,13.911
Ecuador,12.16188,14.12804,16.58504,18.57904,18.15404,19.03204,20.09004,22.106
El Salvador,4.7134,5.598,5.724,5.988,5.848,6.088,6.001,6.18
Falkland Islands (Islas Malvinas),0.01525,0.0163,0.0163,0.018,0.018,0.013,0.012,0.012
French Guiana,0.681,0.706,0.733,0.771,0.792,0.822,0.735,0.6
Grenada,0.14731,0.16716,0.17867,0.18983,0.19539,0.2014,0.196,0.193
